"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL","(L3.108) Initial Teacher Training","Postgraduate","Full-time",22%,72%,0%,4%,2%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",80%,0%,0%,10%,15%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.06) Complementary Medicine","First degree","Full-time",76%,1%,2%,6%,16%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.07) Nutrition","First degree","Full-time",85%,0%,0%,10%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",90%,0%,0%,10%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Part-time",22%,9%,0%,6%,63%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",35%,60%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",22%,48%,0%,2%,28%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.12) Biology","First degree","Full-time",70%,1%,2%,14%,14%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.17) Others in Biological Sciences","First degree","Full-time",90%,0%,0%,5%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.19) Psychology","First degree","Full-time",90%,0%,0%,6%,4%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.19) Psychology","Postgraduate","Full-time",85%,0%,0%,10%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.35) Computer Science","First degree","Full-time",70%,0%,1%,21%,8%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.35) Computer Science","Other undergraduate","Part-time",6%,14%,0%,0%,80%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.35) Computer Science","Postgraduate","Full-time",80%,11%,1%,3%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.35) Computer Science","Postgraduate","Part-time",70%,1%,0%,3%,26%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",67%,0%,0%,10%,23%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",95%,0%,0%,0%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.47) Architecture","First degree","Full-time",86%,0%,0%,9%,4%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.47) Architecture","Other undergraduate","Full-time",94%,0%,0%,0%,6%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.47) Architecture","Postgraduate","Part-time",37%,55%,0%,1%,7%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.48) Building","First degree","Full-time",85%,0%,0%,15%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.48) Building","First degree","Part-time",87%,0%,0%,3%,9%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.48) Building","Postgraduate","Part-time",90%,0%,0%,0%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.50) Planning (Urban, Rural and Regional)","Postgraduate","Part-time",83%,2%,3%,4%,9%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.53) Politics","First degree","Full-time",78%,0%,0%,15%,7%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.53) Politics","Postgraduate","Full-time",90%,3%,0%,4%,4%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.54) Sociology","First degree","Full-time",72%,0%,0%,25%,3%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.57) Others in Social studies","First degree","Full-time",75%,0%,0%,20%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.57) Others in Social studies","Other undergraduate","Part-time",0%,2%,0%,0%,98%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","First degree","Full-time",82%,0%,0%,12%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","First degree","Part-time",70%,0%,0%,25%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","Other undergraduate","Full-time",0%,65%,0%,5%,35%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","Other undergraduate","Part-time",15%,0%,18%,1%,65%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","Postgraduate","Full-time",55%,29%,0%,2%,14%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.60) Law","Postgraduate","Part-time",89%,3%,0%,0%,9%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.61) Business studies","First degree","Full-time",76%,6%,0%,14%,3%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.61) Business studies","First degree","Part-time",75%,0%,0%,5%,20%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.61) Business studies","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.61) Business studies","Postgraduate","Full-time",93%,0%,1%,5%,1%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.61) Business studies","Postgraduate","Part-time",85%,2%,0%,4%,9%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.62) Marketing","First degree","Full-time",75%,0%,0%,20%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.62) Marketing","Postgraduate","Full-time",97%,0%,0%,2%,2%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.63) Management studies","First degree","Full-time",62%,0%,0%,37%,2%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.63) Management studies","Postgraduate","Full-time",61%,36%,1%,1%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.63) Management studies","Postgraduate","Part-time",57%,24%,1%,3%,16%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.64) Human Resource Management","Postgraduate","Full-time",81%,0%,0%,19%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.65) Finance","Postgraduate","Full-time",70%,20%,0%,0%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.67) Tourism, Transport and Travel","First degree","Full-time",80%,9%,0%,6%,6%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.67) Tourism, Transport and Travel","Postgraduate","Full-time",100%,0%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.68) Others in Business and Administrative studies","Postgraduate","Full-time",100%,0%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.68) Others in Business and Administrative studies","Postgraduate","Part-time",85%,0%,0%,5%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.69) Media studies","First degree","Full-time",90%,0%,1%,5%,4%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.69) Media studies","Postgraduate","Full-time",74%,26%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.71) Publicity studies","Postgraduate","Full-time",100%,0%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.73) Journalism","Postgraduate","Full-time",98%,0%,0%,1%,1%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.75) English studies","First degree","Full-time",84%,1%,0%,6%,9%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.75) English studies","Other undergraduate","Part-time",0%,80%,0%,10%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.79) French studies","Other undergraduate","Part-time",17%,0%,0%,3%,80%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.80) German and Scandinavian studies","Other undergraduate","Part-time",21%,0%,0%,2%,77%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.81) Italian studies","Other undergraduate","Part-time",15%,15%,0%,0%,65%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.82) Iberian studies","First degree","Full-time",85%,0%,0%,5%,10%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.82) Iberian studies","Other undergraduate","Part-time",17%,16%,0%,3%,63%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.83) Others in European Languages and Area studies","Other undergraduate","Part-time",14%,27%,0%,13%,46%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.86) Others in Linguistics, Classics and related subjects","Postgraduate","Full-time",79%,7%,7%,3%,3%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.86) Others in Linguistics, Classics and related subjects","Postgraduate","Part-time",90%,0%,0%,0%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.87) Asian studies","Other undergraduate","Part-time",29%,0%,0%,3%,68%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.88) African and Modern Middle Eastern studies","First degree","Full-time",80%,0%,0%,5%,15%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.88) African and Modern Middle Eastern studies","Other undergraduate","Part-time",18%,0%,0%,8%,75%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.90) History","First degree","Full-time",75%,0%,0%,20%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.96) Design studies","First degree","Full-time",77%,1%,1%,12%,8%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.96) Design studies","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.97) Music","First degree","Full-time",82%,3%,1%,4%,11%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.100) Cinematics and Photography","First degree","Full-time",76%,4%,0%,12%,8%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.100) Cinematics and Photography","First degree","Part-time",85%,0%,0%,0%,15%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.102) Others in Creative Arts and Design","First degree","Full-time",80%,5%,0%,10%,0%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.103) Teacher Training","Postgraduate","Part-time",24%,34%,2%,7%,33%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.107) Combined","First degree","Full-time",78%,0%,0%,15%,8%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.107) Combined","Other undergraduate","Full-time",1%,77%,12%,5%,5%,
10007165,"THE UNIVERSITY OF WESTMINSTER","(L3.107) Combined","Other undergraduate","Part-time",0%,86%,0%,0%,14%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",83%,0%,4%,6%,8%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.05) Nursing","First degree","Full-time",71%,17%,1%,11%,1%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.05) Nursing","First degree","Part-time",70%,4%,6%,2%,18%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.05) Nursing","Other undergraduate","Full-time",85%,0%,1%,11%,3%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.05) Nursing","Other undergraduate","Part-time",13%,68%,0%,9%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.05) Nursing","Postgraduate","Part-time",75%,20%,0%,5%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",61%,19%,6%,7%,6%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",25%,40%,20%,5%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",70%,0%,10%,10%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.15) Microbiology","Postgraduate","Full-time",65%,30%,5%,0%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",71%,5%,10%,13%,1%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Part-time",70%,10%,5%,5%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.16) Molecular Biology, Biophysics and Biochemistry","Postgraduate","Full-time",50%,40%,5%,10%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.18) Sports Science","First degree","Full-time",75%,3%,8%,11%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.19) Psychology","First degree","Full-time",80%,0%,11%,7%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.27) Forensic and Archaeological Science","First degree","Full-time",70%,10%,10%,5%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.28) Geology","First degree","Full-time",65%,15%,5%,10%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.32) Mathematics and Statistics","First degree","Full-time",90%,0%,5%,5%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.35) Computer Science","First degree","Full-time",67%,8%,12%,10%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.35) Computer Science","First degree","Part-time",80%,5%,10%,10%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.35) Computer Science","Other undergraduate","Full-time",75%,0%,15%,15%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.35) Computer Science","Postgraduate","Full-time",61%,9%,19%,3%,7%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.35) Computer Science","Postgraduate","Part-time",40%,20%,20%,15%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.36) General Engineering","First degree","Full-time",60%,15%,5%,15%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.36) General Engineering","Other undergraduate","Part-time",5%,75%,0%,20%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.36) General Engineering","Postgraduate","Full-time",85%,10%,0%,0%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.41) Civil Engineering","First degree","Full-time",85%,5%,5%,5%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.41) Civil Engineering","Other undergraduate","Part-time",64%,4%,9%,20%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.47) Architecture","First degree","Full-time",50%,35%,5%,0%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.48) Building","First degree","Full-time",70%,1%,7%,20%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.48) Building","First degree","Part-time",88%,0%,3%,8%,1%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.48) Building","Other undergraduate","Full-time",55%,0%,15%,25%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.48) Building","Other undergraduate","Part-time",73%,6%,6%,11%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.48) Building","Postgraduate","Part-time",52%,28%,8%,5%,7%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.54) Sociology","First degree","Full-time",85%,0%,5%,5%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.55) Social Policy","First degree","Full-time",70%,5%,10%,5%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.58) Social Work","First degree","Full-time",78%,1%,10%,6%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.58) Social Work","First degree","Part-time",60%,5%,5%,20%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.60) Law","First degree","Full-time",83%,1%,5%,8%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.60) Law","First degree","Part-time",65%,0%,5%,20%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.60) Law","Postgraduate","Full-time",22%,68%,6%,1%,3%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.60) Law","Postgraduate","Part-time",68%,16%,6%,3%,6%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.61) Business studies","First degree","Full-time",75%,5%,6%,10%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.61) Business studies","Other undergraduate","Full-time",75%,5%,10%,10%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.61) Business studies","Other undergraduate","Part-time",15%,60%,0%,25%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.61) Business studies","Postgraduate","Full-time",56%,27%,2%,7%,8%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.61) Business studies","Postgraduate","Part-time",49%,37%,3%,3%,8%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.62) Marketing","First degree","Full-time",60%,5%,15%,15%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.63) Management studies","First degree","Full-time",72%,7%,6%,11%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.63) Management studies","First degree","Part-time",70%,0%,10%,15%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.63) Management studies","Postgraduate","Part-time",65%,5%,15%,0%,15%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.64) Human Resource Management","First degree","Full-time",80%,5%,5%,10%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.64) Human Resource Management","Postgraduate","Full-time",70%,25%,0%,0%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.64) Human Resource Management","Postgraduate","Part-time",67%,13%,7%,1%,13%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.66) Accounting","First degree","Full-time",72%,1%,7%,14%,6%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.67) Tourism, Transport and Travel","First degree","Full-time",72%,4%,13%,9%,1%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",61%,0%,8%,29%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.68) Others in Business and Administrative studies","Postgraduate","Part-time",0%,75%,10%,10%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.69) Media studies","First degree","Full-time",76%,7%,8%,6%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.75) English studies","First degree","Full-time",50%,34%,6%,7%,3%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.75) English studies","Other undergraduate","Full-time",17%,59%,0%,18%,6%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.83) Others in European Languages and Area studies","Other undergraduate","Part-time",15%,60%,0%,20%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.90) History","First degree","Full-time",80%,1%,4%,14%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.90) History","Other undergraduate","Part-time",0%,35%,0%,65%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.95) Fine Art","First degree","Full-time",83%,0%,5%,8%,5%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.95) Fine Art","Postgraduate","Part-time",75%,0%,15%,0%,10%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.96) Design studies","First degree","Full-time",69%,9%,11%,4%,7%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.96) Design studies","First degree","Part-time",70%,5%,0%,5%,20%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.97) Music","First degree","Full-time",74%,14%,2%,7%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.97) Music","Other undergraduate","Full-time",70%,5%,15%,15%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.98) Drama","First degree","Full-time",83%,0%,9%,5%,2%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.99) Dance","First degree","Full-time",70%,0%,20%,10%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.100) Cinematics and Photography","First degree","Full-time",64%,19%,7%,4%,7%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.102) Others in Creative Arts and Design","Other undergraduate","Part-time",0%,90%,0%,15%,0%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.103) Teacher Training","Other undergraduate","Part-time",13%,77%,0%,6%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.103) Teacher Training","Postgraduate","Part-time",32%,21%,1%,5%,42%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.105) Academic studies in Education","First degree","Full-time",75%,0%,12%,6%,7%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.105) Academic studies in Education","First degree","Part-time",72%,4%,3%,6%,15%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.105) Academic studies in Education","Other undergraduate","Part-time",60%,23%,6%,5%,6%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.105) Academic studies in Education","Postgraduate","Full-time",4%,77%,10%,1%,8%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.105) Academic studies in Education","Postgraduate","Part-time",35%,18%,22%,6%,19%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.108) Initial Teacher Training","First degree","Full-time",90%,0%,2%,5%,4%,
10007166,"UNIVERSITY OF WOLVERHAMPTON","(L3.108) Initial Teacher Training","Postgraduate","Full-time",4%,81%,4%,7%,4%,
10007167,"UNIVERSITY OF YORK","(L3.05) Nursing","First degree","Full-time",90%,0%,0%,0%,10%,
10007167,"UNIVERSITY OF YORK","(L3.05) Nursing","First degree","Part-time",83%,7%,0%,5%,5%,
10007167,"UNIVERSITY OF YORK","(L3.05) Nursing","Other undergraduate","Full-time",80%,0%,0%,11%,9%,
10007167,"UNIVERSITY OF YORK","(L3.05) Nursing","Other undergraduate","Part-time",70%,5%,0%,10%,15%,
10007167,"UNIVERSITY OF YORK","(L3.05) Nursing","Postgraduate","Part-time",40%,0%,50%,5%,10%,
10007167,"UNIVERSITY OF YORK","(L3.12) Biology","First degree","Full-time",94%,0%,0%,5%,1%,
10007167,"UNIVERSITY OF YORK","(L3.12) Biology","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10007167,"UNIVERSITY OF YORK","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",93%,0%,0%,5%,2%,
10007167,"UNIVERSITY OF YORK","(L3.19) Psychology","First degree","Full-time",98%,0%,0%,2%,0%,
10007167,"UNIVERSITY OF YORK","(L3.19) Psychology","Postgraduate","Full-time",5%,90%,0%,5%,0%,
10007167,"UNIVERSITY OF YORK","(L3.25) Chemistry","First degree","Full-time",92%,0%,0%,5%,3%,
10007167,"UNIVERSITY OF YORK","(L3.26) Physics and Astronomy","First degree","Full-time",93%,0%,0%,2%,4%,
10007167,"UNIVERSITY OF YORK","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",94%,0%,0%,2%,5%,
10007167,"UNIVERSITY OF YORK","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",55%,40%,0%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.32) Mathematics and Statistics","First degree","Full-time",97%,0%,0%,3%,0%,
10007167,"UNIVERSITY OF YORK","(L3.32) Mathematics and Statistics","Postgraduate","Full-time",80%,15%,0%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.35) Computer Science","First degree","Full-time",91%,0%,0%,4%,5%,
10007167,"UNIVERSITY OF YORK","(L3.35) Computer Science","Postgraduate","Full-time",67%,7%,0%,24%,2%,
10007167,"UNIVERSITY OF YORK","(L3.35) Computer Science","Postgraduate","Part-time",90%,5%,0%,0%,5%,
10007167,"UNIVERSITY OF YORK","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",81%,0%,0%,8%,10%,
10007167,"UNIVERSITY OF YORK","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",10%,85%,0%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.52) Economics","First degree","Full-time",94%,0%,0%,4%,3%,
10007167,"UNIVERSITY OF YORK","(L3.52) Economics","Postgraduate","Full-time",91%,0%,6%,1%,2%,
10007167,"UNIVERSITY OF YORK","(L3.53) Politics","First degree","Full-time",96%,0%,0%,2%,2%,
10007167,"UNIVERSITY OF YORK","(L3.53) Politics","Postgraduate","Full-time",85%,8%,0%,7%,0%,
10007167,"UNIVERSITY OF YORK","(L3.54) Sociology","First degree","Full-time",84%,0%,0%,10%,6%,
10007167,"UNIVERSITY OF YORK","(L3.54) Sociology","Postgraduate","Full-time",95%,0%,0%,5%,0%,
10007167,"UNIVERSITY OF YORK","(L3.55) Social Policy","Postgraduate","Part-time",82%,2%,0%,4%,13%,
10007167,"UNIVERSITY OF YORK","(L3.58) Social Work","Postgraduate","Full-time",95%,0%,0%,5%,0%,
10007167,"UNIVERSITY OF YORK","(L3.58) Social Work","Postgraduate","Part-time",85%,0%,0%,15%,0%,
10007167,"UNIVERSITY OF YORK","(L3.63) Management studies","First degree","Full-time",83%,0%,0%,7%,10%,
10007167,"UNIVERSITY OF YORK","(L3.63) Management studies","Postgraduate","Full-time",98%,0%,0%,1%,1%,
10007167,"UNIVERSITY OF YORK","(L3.75) English studies","First degree","Full-time",98%,0%,0%,1%,2%,
10007167,"UNIVERSITY OF YORK","(L3.75) English studies","Postgraduate","Full-time",100%,0%,0%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.84) Linguistics","First degree","Full-time",93%,0%,0%,7%,0%,
10007167,"UNIVERSITY OF YORK","(L3.84) Linguistics","Postgraduate","Full-time",90%,0%,0%,10%,0%,
10007167,"UNIVERSITY OF YORK","(L3.90) History","First degree","Full-time",95%,0%,0%,4%,1%,
10007167,"UNIVERSITY OF YORK","(L3.90) History","Postgraduate","Full-time",94%,0%,0%,4%,2%,
10007167,"UNIVERSITY OF YORK","(L3.91) Archaeology","First degree","Full-time",90%,0%,0%,8%,1%,
10007167,"UNIVERSITY OF YORK","(L3.91) Archaeology","Postgraduate","Full-time",5%,90%,5%,5%,0%,
10007167,"UNIVERSITY OF YORK","(L3.93) Philosophy","First degree","Full-time",96%,0%,0%,2%,2%,
10007167,"UNIVERSITY OF YORK","(L3.97) Music","First degree","Full-time",98%,0%,0%,2%,0%,
10007167,"UNIVERSITY OF YORK","(L3.97) Music","Postgraduate","Full-time",80%,20%,0%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.105) Academic studies in Education","First degree","Full-time",90%,0%,0%,5%,5%,
10007167,"UNIVERSITY OF YORK","(L3.105) Academic studies in Education","Other undergraduate","Part-time",14%,6%,0%,10%,69%,
10007167,"UNIVERSITY OF YORK","(L3.105) Academic studies in Education","Postgraduate","Full-time",99%,0%,1%,0%,0%,
10007167,"UNIVERSITY OF YORK","(L3.105) Academic studies in Education","Postgraduate","Part-time",75%,0%,0%,5%,15%,
10007167,"UNIVERSITY OF YORK","(L3.108) Initial Teacher Training","Postgraduate","Full-time",0%,88%,0%,9%,3%,
10007193,"UXBRIDGE COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",9%,42%,0%,2%,47%,
10007289,"WAKEFIELD COLLEGE","(L3.61) Business studies","Other undergraduate","Part-time",55%,30%,5%,15%,0%,
10007289,"WAKEFIELD COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",90%,0%,0%,10%,0%,
10007289,"WAKEFIELD COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Part-time",70%,5%,0%,25%,0%,
